
28-01-2017 17:40:04:467 - D: 	Executing bot with following commands TEST_BOT_2\Reference\bin\Release\Reference.exe B "D:\ITB\Asisten Stima\2016-Bomberman\v1.2.6\Game Engine\Replays\1919137927\6\B"
28-01-2017 17:40:04:467 - I: 	Executing process TEST_BOT_2\Reference\bin\Release\Reference.exe B "D:\ITB\Asisten Stima\2016-Bomberman\v1.2.6\Game Engine\Replays\1919137927\6\B"
28-01-2017 17:40:04:469 - I: 	Bot has 4000ms to run before it will be forcefully killed
28-01-2017 17:40:04:667 - I: 	Output from bot: *********************
28-01-2017 17:40:04:667 - I: 	Output from bot: *  ###   # #   # # #*
28-01-2017 17:40:04:667 - I: 	Output from bot: *A* * * * * * * * * *
28-01-2017 17:40:04:667 - I: 	Output from bot: *  ##  # # # #  ##  *
28-01-2017 17:40:04:667 - I: 	Output from bot: *#* * * * * * * * *#*
28-01-2017 17:40:04:667 - I: 	Output from bot: *        # #        *
28-01-2017 17:40:04:667 - I: 	Output from bot: *#* * *#*#*#*#* * *#*
28-01-2017 17:40:04:667 - I: 	Output from bot: *                   *
28-01-2017 17:40:04:667 - I: 	Output from bot: * * *#* *#*#* *#* * *
28-01-2017 17:40:04:667 - I: 	Output from bot: *#     #######     #*
28-01-2017 17:40:04:667 - I: 	Output from bot: *#* *#*#*#.#*#*#* *#*
28-01-2017 17:40:04:667 - I: 	Output from bot: *#     ###..##     #*
28-01-2017 17:40:04:667 - I: 	Output from bot: * * *#* *#*.* *#* * *
28-01-2017 17:40:04:667 - I: 	Output from bot: *          ...      *
28-01-2017 17:40:04:667 - I: 	Output from bot: *#* * *#*#*#*.* * *#*
28-01-2017 17:40:04:667 - I: 	Output from bot: *        # # ...    *
28-01-2017 17:40:04:667 - I: 	Output from bot: *#* * * * * * *.* *#*
28-01-2017 17:40:04:667 - I: 	Output from bot: *  ##  # # # # ...B *
28-01-2017 17:40:04:667 - I: 	Output from bot: * * * * * * * * * * *
28-01-2017 17:40:04:667 - I: 	Output from bot: *# # #   # #   ##   *
28-01-2017 17:40:04:667 - I: 	Output from bot: *********************
28-01-2017 17:40:04:667 - I: 	Output from bot: Executing place bomb command
28-01-2017 17:40:04:667 - I: 	Output from bot: Sending Back command PlaceBomb
28-01-2017 17:40:04:670 - E: 	Output from bot: 
28-01-2017 17:40:04:670 - I: 	Output from bot: 
28-01-2017 17:40:04:670 - I: 	Your bots total execution time was 00:00:00.2076820
